number,value,datetime_start,datetime_complete,duration,params_A,params_B,params_C,params_D,params_Vmax,params_a_ub,params_h1,params_h2,user_attrs_IAE,user_attrs_IAE_0,user_attrs_IAE_1,user_attrs_IAE_2,user_attrs_best_mean_reward,user_attrs_best_mean_reward_0,user_attrs_best_mean_reward_1,user_attrs_best_mean_reward_2,user_attrs_sumA,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,state
20,1.2290462866671408,2025-08-24 07:36:04,2025-08-24 08:20:29,0 days 00:44:25,28.096455673287544,-0.3115350883284268,2.1655579932150744,-0.8454011237946777,10.835212805477578,0.7960813347257389,4.653442592760014,3.2661357172002643,,,,,,,,,,1.2290462866671408,,,PRUNED
21,2.591949133526453,2025-08-24 07:51:33,2025-08-24 09:26:20,0 days 01:34:47,28.851087849004298,-0.324671829031909,0.603773165304724,-0.858635227740741,28.441049116410685,0.3003435482080613,3.2422333912266734,3.3032609381991795,,1.9843812302547559,,,,1988.6617706166664,,,,2.591949133526453,,,PRUNED
22,1.1526715647716994,2025-08-24 07:53:28,2025-08-24 08:32:08,0 days 00:38:40,79.4551544209412,-0.3257497178123688,0.14510741405540273,-0.9269076297166196,9.746062197520253,0.7675001880593635,3.21644375601699,3.38374553686548,,,,,,,,,,1.1526715647716994,,,PRUNED
23,1.2303048858741503,2025-08-24 08:01:53,2025-08-24 09:36:57,0 days 01:35:04,32.90018582744537,-0.3389093727799346,1.186537859616453,-0.8938210907442914,8.85606357910073,0.7645000595336086,3.1947364164268826,3.270130167507016,,1.653866555840281,,,,760.5240032466667,,,,1.2303048858741503,,,PRUNED
24,2.273520897423203,2025-08-24 08:20:29,2025-08-24 09:07:29,0 days 00:47:00,33.89675140821731,-0.3055799713270832,0.017434062586406895,-0.9888949249772874,10.212526850910784,0.7203044953854274,3.26058739110529,3.230202921107969,,,,,,,,,,2.273520897423203,,,PRUNED
25,1.8325653239093505,2025-08-24 08:21:34,2025-08-24 09:57:42,0 days 01:36:08,78.97087590606165,-0.3990617939332004,3.879930787041257,-0.9670834274598916,29.244662231121477,0.6911679319229256,3.1405442994209065,3.306081142354583,,2.372630356463336,,,,1062.4845176633335,,,,1.8325653239093505,,,PRUNED
26,1.773377664658663,2025-08-24 08:32:08,2025-08-24 09:16:02,0 days 00:43:54,29.957788224056614,-0.6410841853677507,14.294281116617402,-0.5953254353223306,29.3571497392897,0.6613160053924938,4.095572714496475,4.427115681089358,,,,,,,,,,1.773377664658663,,,PRUNED
27,1.8199993945160688,2025-08-24 09:05:24,2025-08-24 10:41:24,0 days 01:36:00,0.10877894393789234,-0.6245274419196818,11.759475606070403,-0.5861212295090414,16.836458834842517,0.662904095963692,3.979168774206724,4.314132447540395,,2.3903158644578286,,,,1043.5228617100001,,,,1.8199993945160688,,,PRUNED
28,0.3476926953377457,2025-08-24 09:07:29,2025-08-24 11:43:31,0 days 02:36:02,65.13376549285044,-0.6168999433574571,15.879668270440561,-0.5480738607240416,21.855389628396765,0.5035194740631974,4.102734683874467,4.354656342971042,0.3476926953377457,0.31945400833698284,0.33797256764622835,0.3476926953377457,2701.8059003900003,2671.282761026667,2675.78147362,2701.8059003900003,2.267809793556187,0.33797256764622835,,,COMPLETE
29,0.20964952411942586,2025-08-24 09:16:02,2025-08-24 10:29:34,0 days 01:13:32,68.20359133797773,-0.4166280706249784,11.227549475557492,-0.8128291286039294,16.95984674052139,0.49717329442281394,2.863738634906607,2.2418905627100045,,0.24720714031016375,,,,2037.4004295466668,,,,0.24720714031016375,0.20964952411942586,,PRUNED
30,1.1159403490946704,2025-08-24 09:26:20,2025-08-24 10:09:51,0 days 00:43:31,67.43268797137908,-0.0037202443016927933,10.360611675982831,-0.5446213324453284,17.126182675639914,0.5051147929887119,2.805702327721755,2.4551300786597245,,,,,,,,,,1.1159403490946704,,,PRUNED
31,0.9373155321539642,2025-08-24 09:36:57,2025-08-24 10:55:43,0 days 01:18:46,69.83221858275631,-0.0002372455382277927,11.460566591643794,-0.7737380777434482,3.65162714922387,0.8776457643112288,2.778681139274475,2.227730225968371,,0.6798973803819175,,,,2631.2616910166666,,,,0.9373155321539642,,,PRUNED
32,2.3370174020452947,2025-08-24 09:57:42,2025-08-24 10:45:02,0 days 00:47:20,0.5909646162669873,-0.6510377622470739,43.92756416807053,-0.7784323392264307,4.083196254236572,0.5295291680069338,2.826868507635766,2.3265269617550186,,,,,,,,,,2.3370174020452947,,,PRUNED
